epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1850.88,0.51914,0.62263,1.05828,0.70868,0.7252,0.7438,0.61028,0.70289,1.04687,1.21841,0.000237419,0.000237419,0.000237419
89,1871.65,0.52273,0.61314,1.06793,0.72198,0.70648,0.75111,0.62068,0.69345,1.084,1.20158,0.000235355,0.000235355,0.000235355
90,1892.26,0.51959,0.63743,1.06188,0.71283,0.71343,0.74444,0.61801,0.68143,1.04471,1.19434,0.000233291,0.000233291,0.000233291
91,1912.95,0.52369,0.64164,1.05482,0.7145,0.67624,0.72558,0.59544,0.70289,1.15719,1.2052,0.000231226,0.000231226,0.000231226
92,1933.66,0.51157,0.60632,1.0557,0.69497,0.72705,0.73593,0.60868,0.66841,1.10105,1.19127,0.000229162,0.000229162,0.000229162
93,1954.31,0.52307,0.62916,1.05561,0.73048,0.702,0.74157,0.6103,0.69121,1.0638,1.19778,0.000227098,0.000227098,0.000227098
94,1975.25,0.4985,0.60277,1.05096,0.66579,0.75196,0.73679,0.61612,0.68254,1.09821,1.19444,0.000225034,0.000225034,0.000225034
95,1996.13,0.53028,0.6398,1.06583,0.70749,0.70166,0.72787,0.61104,0.69246,1.11731,1.20579,0.00022297,0.00022297,0.00022297
96,2016.83,0.52276,0.61347,1.057,0.75842,0.69423,0.75265,0.62416,0.70169,1.06812,1.21089,0.000220906,0.000220906,0.000220906
97,2037.31,0.51038,0.61123,1.06365,0.69417,0.72564,0.72584,0.6077,0.70861,1.08354,1.21413,0.000218842,0.000218842,0.000218842
98,2058.61,0.51434,0.60934,1.052,0.72261,0.7124,0.73919,0.61258,0.69446,1.06276,1.21066,0.000216777,0.000216777,0.000216777
99,2080.15,0.52351,0.61742,1.06017,0.68857,0.71816,0.71892,0.6034,0.69503,1.05933,1.21163,0.000214713,0.000214713,0.000214713
100,2104.68,0.5195,0.60997,1.06278,0.72995,0.70013,0.73941,0.61056,0.68871,1.09294,1.20835,0.000212649,0.000212649,0.000212649
101,2132.56,0.50807,0.60968,1.05201,0.72396,0.69257,0.72388,0.59374,0.70202,1.13194,1.2055,0.000210585,0.000210585,0.000210585
102,2162.01,0.50522,0.6028,1.04928,0.77754,0.69023,0.76351,0.6288,0.70361,1.08421,1.21867,0.000208521,0.000208521,0.000208521
103,2190.42,0.50245,0.60725,1.05151,0.71606,0.72113,0.74675,0.6348,0.67179,1.04584,1.18698,0.000206457,0.000206457,0.000206457
104,2215.16,0.49628,0.59477,1.04312,0.7768,0.68765,0.75702,0.63913,0.66684,1.05288,1.19638,0.000204393,0.000204393,0.000204393
105,2236.22,0.49343,0.58008,1.03599,0.68643,0.73758,0.72866,0.60982,0.69844,1.05813,1.22044,0.000202328,0.000202328,0.000202328
106,2256.9,0.51336,0.59814,1.05075,0.73499,0.70001,0.74298,0.62498,0.67275,1.0631,1.18726,0.000200264,0.000200264,0.000200264
107,2277.61,0.49809,0.5669,1.03879,0.69722,0.7395,0.73521,0.6242,0.6881,1.1264,1.21815,0.0001982,0.0001982,0.0001982
108,2298.23,0.48831,0.58235,1.03811,0.68846,0.72443,0.72373,0.60787,0.70529,1.09741,1.23799,0.000196136,0.000196136,0.000196136
109,2318.95,0.50588,0.55351,1.04452,0.73432,0.70794,0.74909,0.6223,0.66052,1.0822,1.19354,0.000194072,0.000194072,0.000194072
110,2339.69,0.49263,0.56896,1.0346,0.7391,0.71676,0.7433,0.61664,0.6734,1.04748,1.19792,0.000192008,0.000192008,0.000192008
111,2360.56,0.49424,0.57439,1.04498,0.71427,0.7162,0.74161,0.63018,0.66718,1.08689,1.19308,0.000189943,0.000189943,0.000189943
112,2381.25,0.4953,0.55627,1.03454,0.70122,0.70471,0.72288,0.61372,0.68508,1.06584,1.20139,0.000187879,0.000187879,0.000187879
113,2401.72,0.48856,0.57084,1.04108,0.71215,0.71005,0.73948,0.62681,0.66299,1.08376,1.18721,0.000185815,0.000185815,0.000185815
